Latitude,Longitude,Altitude,Time,Segment
-34.57799166666667,-58.49055,6.0,2020-10-01T21:21:12Z,1
-34.577765,-58.49044166666666,44.0,2020-10-01T21:21:22Z,
-34.577708333333334,-58.49033166666666,53.4,2020-10-01T21:21:27Z,
-34.57765666666667,-58.49022333333334,63.9,2020-10-01T21:21:32Z,
-34.57743833333333,-58.490075,80.2,2020-10-01T21:21:42Z,
-34.57724333333333,-58.490044999999995,93.9,2020-10-01T21:21:47Z,
-34.57711166666666,-58.489895,92.8,2020-10-01T21:21:52Z,
-34.57709166666667,-58.48963666666667,86.4,2020-10-01T21:22:02Z,
-34.57709,-58.489461666666664,76.7,2020-10-01T21:22:12Z,
-34.57706666666666,-58.48938,74.9,2020-10-01T21:22:17Z,
-34.57705333333333,-58.48915999999999,67.3,2020-10-01T21:22:27Z,
-34.57691666666666,-58.48896666666666,65.6,2020-10-01T21:22:37Z,
-34.57672166666667,-58.48871333333333,65.0,2020-10-01T21:22:47Z,
-34.57667166666667,-58.488526666666665,64.8,2020-10-01T21:22:57Z,
-34.57664666666667,-58.48840833333334,65.9,2020-10-01T21:23:07Z,
-34.57656,-58.48829666666667,66.8,2020-10-01T21:23:17Z,
-34.576393333333336,-58.48808999999999,65.4,2020-10-01T21:23:27Z,
-34.57631833333333,-58.48787833333334,61.6,2020-10-01T21:23:47Z,
-34.576260000000005,-58.487773333333344,62.5,2020-10-01T21:23:52Z,
-34.57617333333334,-58.48754833333334,65.6,2020-10-01T21:24:02Z,
-34.576119999999996,-58.48744166666667,67.1,2020-10-01T21:24:07Z,
-34.57597833333333,-58.4872,70.6,2020-10-01T21:24:17Z,
-34.575696666666666,-58.48700166666666,72.0,2020-10-01T21:24:27Z,
-34.575633333333336,-58.48694666666667,73.5,2020-10-01T21:24:32Z,
-34.575563333333335,-58.48680666666667,69.9,2020-10-01T21:24:47Z,
-34.57543333333333,-58.48664166666667,66.8,2020-10-01T21:24:57Z,
-34.57537333333333,-58.486565000000006,66.2,2020-10-01T21:25:02Z,
-34.57530833333333,-58.48649999999999,66.1,2020-10-01T21:25:07Z,
-34.57527,-58.48640833333334,67.4,2020-10-01T21:25:12Z,
-34.57530166666666,-58.48640666666667,87.9,2020-10-01T21:25:27Z,
-34.575156666666665,-58.48627666666666,90.8,2020-10-01T21:25:32Z,
-34.57492666666667,-58.486161666666675,89.8,2020-10-01T21:25:37Z,
-34.57481,-58.485865,82.4,2020-10-01T21:25:47Z,
-34.57480833333333,-58.48571333333333,76.9,2020-10-01T21:25:57Z,
-34.57481,-58.485645000000005,75.3,2020-10-01T21:26:02Z,
-34.574795,-58.485549999999996,75.5,2020-10-01T21:26:07Z,
-34.57470333333333,-58.48540666666666,73.6,2020-10-01T21:26:17Z,
-34.57458333333333,-58.485279999999996,78.3,2020-10-01T21:26:27Z,
-34.57446,-58.48509000000001,82.8,2020-10-01T21:26:37Z,
-34.57425833333333,-58.484739999999995,70.5,2020-10-01T21:26:47Z,
-34.574176666666666,-58.484505000000006,70.9,2020-10-01T21:26:57Z,
-34.574145,-58.48438666666666,71.9,2020-10-01T21:27:02Z,
-34.574081666666665,-58.48417833333333,79.0,2020-10-01T21:27:12Z,
-34.574,-58.48404833333334,76.3,2020-10-01T21:27:17Z,
-34.573895,-58.48378833333333,58.0,2020-10-01T21:27:27Z,
-34.573795000000004,-58.48368000000001,46.0,2020-10-01T21:27:37Z,
-34.57367166666667,-58.483516666666674,52.2,2020-10-01T21:27:47Z,
-34.57359333333333,-58.483264999999996,59.8,2020-10-01T21:27:57Z,
-34.57354333333333,-58.483176666666665,66.8,2020-10-01T21:28:02Z,
-34.57347666666667,-58.48309166666666,73.7,2020-10-01T21:28:07Z,
-34.57341666666667,-58.48289333333334,83.5,2020-10-01T21:28:17Z,
-34.57342166666667,-58.48274,90.5,2020-10-01T21:28:27Z,
-34.57336166666666,-58.48256,97.0,2020-10-01T21:28:37Z,
-34.57324666666667,-58.48245,103.3,2020-10-01T21:28:47Z,
-34.57309,-58.482215,94.3,2020-10-01T21:28:57Z,
-34.573038333333336,-58.482106666666674,91.1,2020-10-01T21:29:07Z,
-34.57298333333333,-58.48197833333334,75.8,2020-10-01T21:29:27Z,
-34.572955,-58.481975,69.7,2020-10-01T21:29:37Z,
-34.572763333333334,-58.481705,61.4,2020-10-01T21:29:47Z,
-34.572631666666666,-58.48154666666666,53.5,2020-10-01T21:29:52Z,
-34.57247333333333,-58.48138666666667,51.3,2020-10-01T21:30:02Z,
-34.57239333333334,-58.48137,59.1,2020-10-01T21:30:07Z,
-34.57224333333333,-58.481145,72.9,2020-10-01T21:30:17Z,
-34.57203833333333,-58.480819999999994,66.1,2020-10-01T21:30:27Z,
-34.571905,-58.48056499999999,59.2,2020-10-01T21:30:37Z,
-34.57184666666667,-58.480399999999996,52.1,2020-10-01T21:30:47Z,
-34.57170333333333,-58.480223333333335,50.8,2020-10-01T21:30:57Z,
-34.57169333333333,-58.48018333333333,51.4,2020-10-01T21:31:12Z,
-34.571733333333334,-58.480195,65.3,2020-10-01T21:32:02Z,
-34.57182,-58.48023499999999,65.7,2020-10-01T21:32:12Z,
-34.57191666666667,-58.480381666666666,80.2,2020-10-01T21:32:22Z,
-34.571794999999995,-58.480515,87.9,2020-10-01T21:32:32Z,
-34.571695,-58.48056833333333,84.4,2020-10-01T21:32:37Z,
-34.57152,-58.48069333333333,72.6,2020-10-01T21:32:47Z,
-34.57136333333334,-58.480864999999994,50.6,2020-10-01T21:32:57Z,
-34.57126166666667,-58.48089333333334,42.1,2020-10-01T21:33:17Z,
-34.57121166666666,-58.48092833333333,44.0,2020-10-01T21:33:32Z,
-34.57107666666666,-58.48102333333333,47.7,2020-10-01T21:33:42Z,
-34.57102333333333,-58.48108666666667,64.3,2020-10-01T21:33:52Z,
-34.57078833333333,-58.48120333333333,54.1,2020-10-01T21:34:02Z,
-34.57069666666666,-58.481455000000004,48.4,2020-10-01T21:34:07Z,
-34.57048333333333,-58.481595,46.3,2020-10-01T21:34:17Z,
-34.57036333333333,-58.48169666666666,39.7,2020-10-01T21:34:22Z,
-34.57024833333333,-58.48179166666667,44.1,2020-10-01T21:34:32Z,
-34.57016333333333,-58.481815000000005,42.3,2020-10-01T21:34:37Z,
-34.57001,-58.48184833333333,33.2,2020-10-01T21:34:47Z,
-34.569939999999995,-58.481895,29.6,2020-10-01T21:34:52Z,
-34.56984166666667,-58.48197833333334,22.4,2020-10-01T21:35:02Z,
-34.56982,-58.48202166666667,21.4,2020-10-01T21:35:07Z,
-34.5698,-58.48215666666667,20.4,2020-10-01T21:35:17Z,
-34.56974666666667,-58.48216000000001,16.5,2020-10-01T21:35:22Z,
-34.569714999999995,-58.48224666666667,20.6,2020-10-01T21:35:27Z,
-34.56964833333333,-58.48233833333334,22.7,2020-10-01T21:35:37Z,
-34.569539999999996,-58.482511666666674,25.7,2020-10-01T21:35:47Z,
-34.56945333333333,-58.48261000000001,30.5,2020-10-01T21:35:52Z,
-34.569280000000006,-58.482791666666664,41.1,2020-10-01T21:36:02Z,
-34.56921666666666,-58.482871666666675,44.5,2020-10-01T21:36:07Z,
-34.569065,-58.48312666666667,52.3,2020-10-01T21:36:17Z,
-34.568830000000005,-58.48320166666667,47.3,2020-10-01T21:36:22Z,
-34.56856333333334,-58.48335,41.2,2020-10-01T21:36:32Z,
-34.56852833333333,-58.48345333333334,45.6,2020-10-01T21:36:37Z,
-34.568395,-58.483636666666676,48.7,2020-10-01T21:36:47Z,
-34.568200000000004,-58.483826666666666,50.1,2020-10-01T21:36:57Z,
-34.568104999999996,-58.48389333333333,48.3,2020-10-01T21:37:02Z,
-34.567915,-58.48408833333333,52.3,2020-10-01T21:37:12Z,
-34.567705000000004,-58.48418,50.3,2020-10-01T21:37:22Z,
-34.567573333333335,-58.484244999999994,46.7,2020-10-01T21:37:32Z,
-34.56752166666667,-58.48432833333333,48.8,2020-10-01T21:37:37Z,
-34.56745333333333,-58.48440333333333,50.2,2020-10-01T21:37:42Z,
-34.56722833333333,-58.48452833333334,45.1,2020-10-01T21:37:52Z,
-34.56715833333333,-58.48457666666666,41.8,2020-10-01T21:37:57Z,
-34.567056666666666,-58.48461666666667,34.9,2020-10-01T21:38:42Z,
-34.56695166666667,-58.48472166666667,36.8,2020-10-01T21:38:52Z,
-34.56688,-58.48481166666667,36.3,2020-10-01T21:38:57Z,
-34.56668666666667,-58.484995,33.7,2020-10-01T21:39:07Z,
-34.5665,-58.48516166666666,33.5,2020-10-01T21:39:17Z,
-34.566403333333334,-58.485256666666665,33.7,2020-10-01T21:39:22Z,
-34.56619833333333,-58.485383333333324,33.1,2020-10-01T21:39:32Z,
-34.566140000000004,-58.48544666666667,34.5,2020-10-01T21:39:37Z,
-34.565979999999996,-58.48563333333333,35.4,2020-10-01T21:39:47Z,
-34.56589666666666,-58.48572333333333,36.3,2020-10-01T21:39:52Z,
-34.565825000000004,-58.48580333333333,38.5,2020-10-01T21:39:57Z,
-34.565645,-58.48591666666666,38.6,2020-10-01T21:40:22Z,
-34.56559333333333,-58.48604166666667,42.3,2020-10-01T21:40:32Z,
-34.56557166666666,-58.48610833333334,49.0,2020-10-01T21:40:37Z,
-34.56547166666667,-58.486225,51.9,2020-10-01T21:40:47Z,
-34.565378333333335,-58.486386666666675,58.7,2020-10-01T21:40:57Z,
-34.565308333333334,-58.486473333333336,60.1,2020-10-01T21:41:02Z,
-34.56518833333334,-58.486505,59.0,2020-10-01T21:41:07Z,
-34.564989999999995,-58.486664999999995,56.9,2020-10-01T21:41:17Z,
-34.56491666666667,-58.48672666666666,57.2,2020-10-01T21:41:22Z,
-34.56485,-58.48692833333333,64.5,2020-10-01T21:41:32Z,
-34.564785,-58.48702,66.2,2020-10-01T21:41:37Z,
-34.564481666666666,-58.48715166666666,56.0,2020-10-01T21:41:47Z,
-34.56431833333333,-58.48737333333334,57.8,2020-10-01T21:41:57Z,
-34.56424333333334,-58.487476666666666,63.7,2020-10-01T21:42:02Z,
-34.564193333333336,-58.48755333333334,67.9,2020-10-01T21:42:07Z,
-34.56397666666667,-58.48764833333333,64.5,2020-10-01T21:42:17Z,
-34.563824999999994,-58.487818333333344,68.1,2020-10-01T21:42:27Z,
-34.56357833333333,-58.48793166666666,58.8,2020-10-01T21:42:37Z,
-34.563475000000004,-58.488006666666664,57.7,2020-10-01T21:42:42Z,
-34.563343333333336,-58.488141666666664,59.0,2020-10-01T21:42:52Z,
-34.56328333333333,-58.488278333333334,68.7,2020-10-01T21:43:02Z,
-34.56326166666667,-58.48835333333333,73.2,2020-10-01T21:43:07Z,
-34.56321166666667,-58.48854333333334,88.0,2020-10-01T21:43:17Z,
-34.56292166666666,-58.48869166666667,83.8,2020-10-01T21:43:27Z,
-34.56254166666667,-58.488866666666674,70.9,2020-10-01T21:43:37Z,
-34.56232166666667,-58.488996666666665,63.3,2020-10-01T21:43:47Z,
-34.562149999999995,-58.48905666666666,51.7,2020-10-01T21:43:52Z,
-34.5619,-58.48920833333333,46.9,2020-10-01T21:44:02Z,
-34.561793333333334,-58.489285,46.6,2020-10-01T21:44:07Z,
-34.56162500000001,-58.48941,49.0,2020-10-01T21:44:17Z,
-34.56149833333333,-58.489491666666666,44.8,2020-10-01T21:44:22Z,
-34.56130333333333,-58.489630000000005,44.1,2020-10-01T21:44:32Z,
-34.56122333333334,-58.48969,46.3,2020-10-01T21:44:37Z,
-34.56110666666667,-58.48980333333334,53.1,2020-10-01T21:44:47Z,
-34.561029999999995,-58.489868333333334,54.0,2020-10-01T21:44:52Z,
-34.560735,-58.48994,36.6,2020-10-01T21:45:02Z,
-34.56068166666667,-58.48993166666667,34.4,2020-10-01T21:45:07Z,
-34.56058666666667,-58.48992666666666,32.4,2020-10-01T21:45:17Z,
-34.560485,-58.48985833333333,36.4,2020-10-01T21:45:27Z,
