Latitude,Longitude,Altitude,Time,Segment
-34.58026139,-58.49148334,143.89999389648438,2021-06-12T11:21:49Z,1
-34.58023745,-58.49146779,141.10000610351563,2021-06-12T11:21:50Z,
-34.58026679,-58.49141865,143.0,2021-06-12T11:21:52Z,
-34.5802748,-58.49141323,147.10000610351563,2021-06-12T11:21:54Z,
-34.58028626,-58.49140596,152.3000030517578,2021-06-12T11:21:56Z,
-34.58031177,-58.49143668,146.8000030517578,2021-06-12T11:24:42Z,
-34.58033973,-58.49145009,144.3000030517578,2021-06-12T11:24:44Z,
-34.58038383,-58.49140999,141.89999389648438,2021-06-12T11:24:46Z,
-34.58043808,-58.49136138,138.3000030517578,2021-06-12T11:24:48Z,
-34.5805158,-58.4912943,135.10000610351563,2021-06-12T11:24:50Z,
-34.58060553,-58.49118692,132.8000030517578,2021-06-12T11:24:52Z,
-34.5807462,-58.49105387,129.0,2021-06-12T11:24:54Z,
-34.58087882,-58.49093136,121.30000305175781,2021-06-12T11:24:56Z,
-34.58094319,-58.49087466,116.69999694824219,2021-06-12T11:24:58Z,
-34.58097508,-58.49081995,114.5999984741211,2021-06-12T11:25:00Z,
-34.58099458,-58.49075325,107.19999694824219,2021-06-12T11:25:02Z,
-34.58096934,-58.49061566,103.0999984741211,2021-06-12T11:25:04Z,
-34.58091941,-58.49043317,100.69999694824219,2021-06-12T11:25:06Z,
-34.58083839,-58.49022521,98.80000305175781,2021-06-12T11:25:08Z,
-34.58074853,-58.49003239,96.69999694824219,2021-06-12T11:25:10Z,
-34.58065389,-58.48986362,96.19999694824219,2021-06-12T11:25:12Z,
-34.58056797,-58.48974381,95.5999984741211,2021-06-12T11:25:14Z,
-34.58038429,-58.48968792,93.80000305175781,2021-06-12T11:25:18Z,
-34.58031571,-58.48972741,93.5,2021-06-12T11:25:20Z,
-34.58021498,-58.48977972,93.0999984741211,2021-06-12T11:25:22Z,
-34.58009205,-58.48984956,92.80000305175781,2021-06-12T11:25:24Z,
-34.57998603,-58.4899307,92.5999984741211,2021-06-12T11:25:26Z,
-34.57989389,-58.49004696,92.4000015258789,2021-06-12T11:25:28Z,
-34.57974826,-58.49016467,92.0999984741211,2021-06-12T11:25:30Z,
-34.57961137,-58.49024547,92.19999694824219,2021-06-12T11:25:32Z,
-34.57952517,-58.49029917,91.9000015258789,2021-06-12T11:25:34Z,
-34.57947248,-58.49034822,92.19999694824219,2021-06-12T11:25:36Z,
-34.57944473,-58.49039318,92.19999694824219,2021-06-12T11:25:38Z,
-34.57939862,-58.49048259,91.4000015258789,2021-06-12T11:25:40Z,
-34.57935496,-58.49054153,90.19999694824219,2021-06-12T11:25:42Z,
-34.57927288,-58.49058439,90.19999694824219,2021-06-12T11:25:44Z,
-34.57917109,-58.49060705,89.5,2021-06-12T11:25:46Z,
-34.57904125,-58.49071423,88.0,2021-06-12T11:25:48Z,
-34.57895654,-58.49079408,87.80000305175781,2021-06-12T11:25:50Z,
-34.57885758,-58.49082784,86.80000305175781,2021-06-12T11:25:52Z,
-34.57874957,-58.49089783,86.19999694824219,2021-06-12T11:25:54Z,
-34.57864859,-58.49104291,86.30000305175781,2021-06-12T11:25:56Z,
-34.57853547,-58.49111764,85.5,2021-06-12T11:25:58Z,
-34.57846432,-58.49115025,86.0999984741211,2021-06-12T11:26:00Z,
-34.57837547,-58.49119786,86.19999694824219,2021-06-12T11:26:02Z,
-34.57826476,-58.49136546,86.0999984741211,2021-06-12T11:26:04Z,
-34.57813886,-58.49149224,86.0,2021-06-12T11:26:06Z,
-34.57800113,-58.49160297,85.4000015258789,2021-06-12T11:26:08Z,
-34.57784104,-58.49173904,85.19999694824219,2021-06-12T11:26:10Z,
-34.57772256,-58.49191842,84.9000015258789,2021-06-12T11:26:12Z,
-34.57760981,-58.4920101,84.69999694824219,2021-06-12T11:26:14Z,
-34.57754441,-58.49204761,84.5999984741211,2021-06-12T11:26:16Z,
-34.57758936,-58.4920885,74.69999694824219,2021-06-12T11:26:24Z,
-34.57761724,-58.49215995,70.0,2021-06-12T11:26:26Z,
-34.57766452,-58.49226304,70.0999984741211,2021-06-12T11:26:28Z,
-34.57771933,-58.49241269,68.9000015258789,2021-06-12T11:26:30Z,
-34.57782972,-58.49258986,67.0999984741211,2021-06-12T11:26:32Z,
-34.57794761,-58.49276987,62.099998474121094,2021-06-12T11:26:34Z,
-34.57804581,-58.49292725,57.70000076293945,2021-06-12T11:26:36Z,
-34.57811507,-58.49303649,55.599998474121094,2021-06-12T11:26:38Z,
-34.57810803,-58.49310628,54.70000076293945,2021-06-12T11:26:40Z,
-34.57808754,-58.4931526,52.70000076293945,2021-06-12T11:26:42Z,
-34.57804171,-58.49319167,52.79999923706055,2021-06-12T11:26:44Z,
-34.57793805,-58.49326951,50.70000076293945,2021-06-12T11:26:46Z,
-34.57783728,-58.49334395,50.900001525878906,2021-06-12T11:26:48Z,
-34.57773589,-58.49341337,51.0,2021-06-12T11:26:50Z,
-34.577603,-58.49350623,51.20000076293945,2021-06-12T11:26:52Z,
-34.57745266,-58.49363413,51.5,2021-06-12T11:26:54Z,
-34.57732689,-58.49372675,51.400001525878906,2021-06-12T11:26:56Z,
-34.57708613,-58.49391711,51.70000076293945,2021-06-12T11:27:00Z,
-34.5769342,-58.49402934,51.900001525878906,2021-06-12T11:27:02Z,
-34.57679544,-58.49412969,51.400001525878906,2021-06-12T11:27:04Z,
-34.57666231,-58.49420779,51.0,2021-06-12T11:27:06Z,
-34.57654849,-58.49431561,50.900001525878906,2021-06-12T11:27:08Z,
-34.57641134,-58.49445133,50.900001525878906,2021-06-12T11:27:10Z,
-34.57628671,-58.49456711,50.900001525878906,2021-06-12T11:27:12Z,
-34.57618621,-58.49465674,51.5,2021-06-12T11:27:14Z,
-34.57603832,-58.49478362,51.599998474121094,2021-06-12T11:27:16Z,
-34.57590419,-58.49489676,50.79999923706055,2021-06-12T11:27:18Z,
-34.57575336,-58.4949815,51.20000076293945,2021-06-12T11:27:20Z,
-34.57565692,-58.49494553,51.0,2021-06-12T11:27:22Z,
-34.57558234,-58.49485085,50.79999923706055,2021-06-12T11:27:24Z,
-34.57549195,-58.49468552,50.400001525878906,2021-06-12T11:27:26Z,
-34.57541187,-58.49451582,50.29999923706055,2021-06-12T11:27:28Z,
-34.57533027,-58.49435352,49.0,2021-06-12T11:27:30Z,
-34.57525277,-58.49420213,48.099998474121094,2021-06-12T11:27:32Z,
-34.57519115,-58.49408307,49.20000076293945,2021-06-12T11:27:34Z,
-34.57510125,-58.49394631,48.099998474121094,2021-06-12T11:27:36Z,
-34.57501421,-58.49379849,48.400001525878906,2021-06-12T11:27:38Z,
-34.57493685,-58.49363684,47.900001525878906,2021-06-12T11:27:40Z,
-34.57483598,-58.49348612,48.5,2021-06-12T11:27:42Z,
-34.57474522,-58.49334714,47.400001525878906,2021-06-12T11:27:44Z,
-34.57467752,-58.49322154,49.099998474121094,2021-06-12T11:27:46Z,
-34.57461866,-58.49309209,50.5,2021-06-12T11:27:48Z,
-34.57455509,-58.492993,51.70000076293945,2021-06-12T11:27:50Z,
-34.57450695,-58.49290555,50.900001525878906,2021-06-12T11:27:52Z,
-34.57444133,-58.49276838,51.5,2021-06-12T11:27:54Z,
-34.57435256,-58.49259919,50.900001525878906,2021-06-12T11:27:56Z,
-34.5742589,-58.49243112,50.099998474121094,2021-06-12T11:27:58Z,
-34.5741677,-58.49225907,48.900001525878906,2021-06-12T11:28:00Z,
-34.57407994,-58.4920763,46.0,2021-06-12T11:28:02Z,
-34.5740053,-58.49193898,45.20000076293945,2021-06-12T11:28:04Z,
-34.57394373,-58.49182391,44.5,2021-06-12T11:28:06Z,
-34.5738929,-58.49170185,44.099998474121094,2021-06-12T11:28:08Z,
-34.57383481,-58.49158402,44.0,2021-06-12T11:28:10Z,
-34.57375684,-58.49145789,44.20000076293945,2021-06-12T11:28:12Z,
-34.5736841,-58.49134341,43.900001525878906,2021-06-12T11:28:14Z,
-34.57363585,-58.49122767,43.79999923706055,2021-06-12T11:28:16Z,
-34.57358141,-58.49115059,45.400001525878906,2021-06-12T11:28:18Z,
-34.57353917,-58.49106126,43.400001525878906,2021-06-12T11:28:20Z,
-34.57349446,-58.49099234,43.400001525878906,2021-06-12T11:28:22Z,
-34.57344439,-58.49090691,42.70000076293945,2021-06-12T11:28:24Z,
-34.57340772,-58.4908281,43.29999923706055,2021-06-12T11:28:26Z,
-34.57335999,-58.49076071,44.5,2021-06-12T11:28:28Z,
-34.57331058,-58.49069311,44.70000076293945,2021-06-12T11:28:30Z,
-34.57321827,-58.49053262,43.29999923706055,2021-06-12T11:28:32Z,
